link,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cuisine,,Cost (RS),cost,liked
https://www.zomato.com/pune/mix@36-the-westin-mundhwa,"Mix@36 - The Westin
                                    ",Lounge,"The Westin, Mundhwa",4.2,(707 Reviews),,,"North Indian,Continental,Asian,Finger Food,",, 4300,Rs. 4300,"Cocktails, Chaat, Beer"
https://www.zomato.com/pune/kangan-the-westin-mundhwa,"Kangan - The Westin
                                    ",Fine Dining,"The Westin, Mundhwa",4.1,(344 Reviews),,,"North Indian,Mughlai,",, 3500,Rs. 3500,"Biryani, Veg Platter, Dal Makhani, Butter Chicken, Naan, Paneer Tikka, Kulfi"
https://www.zomato.com/pune/coriander-kitchen-conrad-pune-bund-garden,"Coriander Kitchen - Conrad Pune
                                    ",Fine Dining,"Conrad Pune, Bund Garden Road",4.5,(541 Reviews),,,"Mediterranean,Asian,North Indian,",, 3200,Rs. 3200,"Pasta, Panipuri, Waffles, Pizza, Salad, Chaat, Noodle"
https://www.zomato.com/pune/the-market-the-westin-mundhwa,"The Market - The Westin
                                    ",Fine Dining,"The Westin, Mundhwa",4,(55 Reviews),,,"Asian,European,North Indian,",, 3200,Rs. 3200,"Vanilla Ice Cream, Chaat, Sushi"
https://www.zomato.com/pune/vandaag-vivanta-pune-hinjawadi,"Vandaag - Vivanta Pune
                                    ","Pub,Casual Dining","Vivanta Pune, Hinjewadi",3.9,(113 Reviews),,,"Finger Food,Continental,",, 3100,Rs. 3100,"Cocktails, Beer, Peri Peri Chicken, Fish, Veg Platter"
https://www.zomato.com/pune/baan-tao-hyatt-pune-yerawada,"Baan Tao - Hyatt Pune
                                    ",Fine Dining,"Hyatt Pune, Nagar Road",4.5,(739 Reviews),,,"Salad,Asian,Malaysian,Vietnamese,Thai,Chinese,",, 3000,Rs. 3000,"Sushi, Salad, Dumplings, Tom Yum Soup, Dimsum Lunch, Clear Soup, Chicken Dim Sum"
https://www.zomato.com/pune/zeera-conrad-pune-bund-garden,"Zeera - Conrad Pune
                                    ",Fine Dining,"Conrad Pune, Bund Garden Road",4.1,(159 Reviews),,,"North Indian,",, 3000,Rs. 3000,"Paan Ice Cream, Biryani, Coffee, Pindi Chole, Tikki, Garlic Naan, Thali"
https://www.zomato.com/pune/koji-conrad-pune-bund-garden,"Koji - Conrad Pune
                                    ",Fine Dining,"Conrad Pune, Bund Garden Road",4.1,(199 Reviews),,,"Thai,Japanese,Chinese,",, 3000,Rs. 3000,"Sushi, Cocktails, Salmon, Chicken Clay Pot, Kung Pao Chicken, Mocktails, Sashimi"
https://www.zomato.com/pune/feast-sheraton-grand-bund-garden,"Feast - Sheraton Grand
                                    ",Fine Dining,"Sheraton Grand, Bund Garden Road",4.5,(577 Reviews),,,"European,Asian,North Indian,",, 3000,Rs. 3000,"Pasta, Salad, Sea Food, Coffee, Paan Ice Cream, Fish, Lamb"
https://www.zomato.com/pune/aasmana-the-ritz-carlton-yerawada,"Aasmana: The Ritz-Carlton
                                    ",Fine Dining,"Ritz Carlton, Yerwada",3.7,(22 Reviews),,,"Mughlai,Biryani,Kebab,North Indian,",, 3000,Rs. 3000,
